"name_with_owner","author","message","is_core"
"postmanlabs/postman-docs","mark-anthony-postman","Merge branch 'develop' into tw-1402-performance-test-data-files",1
"postmanlabs/postman-docs","mark-anthony-postman","Add screenshots for data files",1
"postmanlabs/postman-docs","mark-anthony-postman","Merge pull request #4888 from postmanlabs/tw-1195-v10-migration

[TW-1195] Doc APIB deprecation upgrade to V10",1
"postmanlabs/postman-docs","mark-anthony-postman","Merge pull request #4779 from postmanlabs/tw-1028-scratchpad-v2

[TW-1028] Doc offline API Client (Scratch Pad v2)",1
"postmanlabs/postman-docs","mark-anthony-postman","Add start proxy page",1
"PhantomBot/PhantomBot","gmt2001","Update Reflect.pid to Java 11",1
"PhantomBot/PhantomBot","gmt2001","Merge pull request #3229 from gmt2001/patch-646

Patch 646",1
"lvgl/lvgl","xaowang96","feat(checkbox): add RTL support (#4646)

Signed-off-by: wangxuedong <wangxuedong@xiaomi.com>",0
"PhantomBot/PhantomBot","gmt2001","Fix oauth not showing errors",1
"PhantomBot/PhantomBot","gmt2001","Remove suffix requirement",1
"netbox-community/netbox","arthanson","12685 use markdown for custom fields added to form (#13828)

* 12685 use markdown for custom fields added to form

* 13809 change markdown to use utilities

* Add help_text for CustomField description indicating Markdown support

---------

Co-authored-by: Jeremy Stretch <jstretch@netboxlabs.com>",0
"postmanlabs/postman-docs","akinard-postman","Update src/pages/docs/collaborating-in-postman/private-api-network/organizing-private-network.md

Co-authored-by: MatthewPinsker <108359042+MatthewPinsker-postman@users.noreply.github.com>",0
"postmanlabs/postman-docs","akinard-postman","Update doc links, add new path to redirect.json",0
"postmanlabs/postman-docs","akinard-postman","Merge pull request #4945 from postmanlabs/PAPI-1716-make-a-call-doc-postman-api

[PAPI-1716] Create ""Make a call with the Postman API"" article",0
"archesproject/arches","johnatawnclementawn","Merge branch 'accessibility' into 9345_radio_boolean_widget_accessible",0
"postmanlabs/postman-docs","akinard-postman","Change updated frontmatter",0
"postmanlabs/postman-docs","jkonrath-postman","Merge pull request #5029 from postmanlabs/tw-1325-interceptor-links

[TW-1325] Add links for Firefox, Safari, and Edge Interceptor extensions",1
"postmanlabs/postman-docs","mark-anthony-postman","Update navigating Postman",1
"netbox-community/netbox","abhi1693","Adds maintenance exempt paths (#12592)

* adds maintenance exempt paths #11233

* adds maintenance exempt paths #11233

* Rename method & remove login/logout from exempt paths

---------

Co-authored-by: jeremystretch <jstretch@netboxlabs.com>",0
"netbox-community/netbox","jeremystretch","Fixes #13434: Randomly generate initial keys prior to the creation of new tokens",1
"archesproject/arches","johnatawnclementawn","Fix aria-expanded #9340",0
"netbox-community/netbox","jeremystretch","Grammar fix",1
"PhantomBot/PhantomBot","gmt2001","Updated GitHub Pages",1
"PhantomBot/PhantomBot","gmt2001","Explicitly delete subscriptions on non-Twitch-initiated reconnect
Move subscription refresh to EventSub Welcome
Add console output for Twitch-initiated reconnect
Add debug output for duplicate message
Add connected message on handshakeComplete
Add disconnected notice with reconnect time to onClose",1
"archesproject/arches","chiatt","Merge pull request #9790 from archesproject/merge_6_into_7

Update 7.4.x with latest changes in 6.2.x",1
"PhantomBot/PhantomBot","gmt2001","Create database for MySQL/MariaDB
Add ability to block Rollbar reporting via custom object",1
"PhantomBot/PhantomBot","gmt2001","Merge pull request #3164 from gmt2001/patch-603

Patch 603",1
"PhantomBot/PhantomBot","gmt2001","Merge pull request #3417 from gmt2001/patch-710

Patch 710",1
"PhantomBot/PhantomBot","gmt2001","Fix incorrect param order",1
"PhantomBot/PhantomBot","gmt2001","Implement EventSub topic for channel.follow",1
"postmanlabs/postman-docs","mark-anthony-postman","Update screenshots",1
"weaviate/weaviate","dirkkul","Add generative search to GRPC",0
"postmanlabs/postman-docs","mark-anthony-postman","Reorganize import from git page",1
"xamarin/xamarin-macios","rolfbjarne","[dotnet] Collect all the native linker arguments ILC would have used and use them ourselves.",1
"postmanlabs/postman-docs","MatthewPinsker-postman","Merge pull request #5004 from postmanlabs/tw-738-verified-teams

[TW-738] Verified teams",0
"weaviate/weaviate","abdelr","Merge branch 'binary_quantisation_brute_force' of https://github.com/weaviate/weaviate into binary_quantisation_brute_force",0
"PhantomBot/PhantomBot","gmt2001","Finish JOOQ implementation
Deprecate CreateIndexes, DropIndexes, Dispose
Fix JavaDoc",1
"PhantomBot/PhantomBot","gmt2001","Update to convert Datastore1 driver names
Copy botproperty tags
Update JavaDoc",1
"jens-maus/RaspberryMatic","jens-maus","updated upstream kernel to 6.1.57",1
"TurningWheel/Barony","SheridanR","fog changes

Signed-off-by: SheridanR <sheridan.rathbun@gmail.com>",1
"lvgl/lvgl","GorgonMeducer","feat(benchmark): increase the weights for rotation and scaling(zoom) … (#4620)",0
"lvgl/lvgl","niklasf","fix(tiny_ttf): fix font metrics confusion (#4714)",0
"xamarin/xamarin-macios","mandel-macaque","[MediaAccessibility] Add xcode 15 beta 7 support. (#19016)

Co-authored-by: GitHub Actions Autoformatter <github-actions-autoformatter@xamarin.com>
Co-authored-by: Alex Soto <alex@alexsoto.me>",1
"xamarin/xamarin-macios","mandel-macaque","[Mtouch] Fix typo in linker flag.",1
"archesproject/arches","ryan86","Merge pull request #9431 from johnatawnclementawn:9361_string_datatype_accessible

9361 Make string datatype accessible",1
"netbox-community/netbox","abhi1693","Adds housekeeping systemd files (#12457)

* adds housekeeping systemd files #11190

* Clean up Markdown

---------

Co-authored-by: jeremystretch <jstretch@netboxlabs.com>",0
"jens-maus/RaspberryMatic","jens-maus","added buildroot upstream patch to introduce a dedicated snmp user and
group and also reworked S59snmpd to start the netsnmp daemon with
dropped priviledges (This refs #599).",1
"postmanlabs/postman-docs","mark-anthony-postman","Change local system to computer",1
"postmanlabs/postman-docs","mark-anthony-postman","Merge branch 'develop' into tw-469-settings-redesign",1
"PhantomBot/PhantomBot","gmt2001","Merge pull request #3311 from gmt2001/patch-689

Patch 689",1
"PhantomBot/PhantomBot","gmt2001","Move paginateArrayDiscord to Discord misc",1
"PhantomBot/PhantomBot","gmt2001","Merge pull request #3326 from gmt2001/patch-673

Patch 673",1
"PhantomBot/PhantomBot","gmt2001","Fix syntax",1
"PhantomBot/PhantomBot","gmt2001","Move FluentStatement building base to FluentStatementBuilder
Update FluentStatement to only hold the final PreparedStatement
Add setString
Add addBatch",1
"PhantomBot/PhantomBot","gmt2001","Remove healthcheck updater",1
"PhantomBot/PhantomBot","gmt2001","Fix editcom failing on a valid command",1
"postmanlabs/postman-docs","petewitcher-postman","Update src/pages/docs/postman-flows/concepts/organizing-a-flow.md

Co-authored-by: Ashley Kinard <113702138+akinard-postman@users.noreply.github.com>",0
"xamarin/xamarin-macios","mandel-macaque","[Make] Bump simulators needed.",1
"weaviate/weaviate","gmanninglive","impl custom origin / pathMask config vars",0
"postmanlabs/postman-docs","nerminamiller-postman","Merge pull request #4900 from postmanlabs/tw-1160-soap-refresh

[TW-1160] Refresh ""Using SOAP Requests"" doc",0
"weaviate/weaviate","reyreaud-l","add acceptance backup test for node mapping backup and restore

Signed-off-by: Loic Reyreaud <loic@weaviate.io>",0
"archesproject/arches","apeters","Merge pull request #9316 from archesproject/9315_road_map

Add road map to readme.md",1
"archesproject/arches","chiatt","Merge pull request #9578 from archesproject/74_release_prep

Update upgrade instructions",1
"archesproject/arches","chiatt","Merge pull request #9478 from HistoricEngland/9477_56042_edtf_and_table_alias_fix_for_spatial_views

9477 edtf and table alias fix for spatial views",1
"postmanlabs/postman-docs","DanielKimmelmann1","Update src/pages/docs/postman-flows/reference/blocks-list.md

Co-authored-by: Pete Witcher <107959588+petewitcher-postman@users.noreply.github.com>",0
"PhantomBot/PhantomBot","Sartharon","General read_only channel attribute for panel users",0
"netbox-community/netbox","jeremystretch","Update version",1
"weaviate/weaviate","donomii","fix test",0
"weaviate/weaviate","donomii","test",0
"weaviate/weaviate","donomii","Fix offset not working in hybrid search (#3134)

Fix offset parameter not working in hybrid search",0
"netbox-community/netbox","jeremystretch","Plug NetBox Cloud in installation docs",1
"archesproject/arches","chrabyrd","nit #9304",1
"postmanlabs/postman-docs","MatthewPinsker-postman","Merge branch 'develop' into tw-1110-autosave-api-client",0
"xamarin/xamarin-macios","mandel-macaque","[AuthentationServices] Add support for xcode 15 beta 6. (#18787)

Co-authored-by: GitHub Actions Autoformatter <github-actions-autoformatter@xamarin.com>
Co-authored-by: TJ Lambert <50846373+tj-devel709@users.noreply.github.com>
Co-authored-by: Rolf Bjarne Kvinge <rolf@xamarin.com>",1
"xamarin/xamarin-macios","mandel-macaque","[Code Style] Add some extra style checks focused on nullability. (#17831)

Added the following new checks:

```csharp
// dotnet_style_coalesce_expression = true
var v = x ?? y;

// dotnet_style_coalesce_expression = false
var v = x != null ? x : y; // or
var v = x == null ? y : x;
```

```csharp
// dotnet_style_null_propagation = true
var v = o?.ToString();

// dotnet_style_null_propagation = false
var v = o == null ? null : o.ToString(); // or
var v = o != null ? o.String() : null;
```

```csharp
// dotnet_style_prefer_is_null_check_over_reference_equality_method = true
if (value is null)
    return;

// dotnet_style_prefer_is_null_check_over_reference_equality_method = false
if (object.ReferenceEquals(value, null))
    return;

// dotnet_style_prefer_is_null_check_over_reference_equality_method = false
if ((object)o == null)
    return;
```",1
"netbox-community/netbox","jeremystretch","#13666: Add is_valid property to Report class",1
"weaviate/weaviate","donomii","Correct pointers",0
"postmanlabs/postman-docs","mclausaudio","Merge pull request #5120 from postmanlabs/MARKENG-2860

[MARKENG-2860] Deploy LC page-data into WWW bucket",0
"weaviate/weaviate","abdelr","Merge pull request #3747 from weaviate/fix-bin-quant/marhsalling-when-replicated

Fix clusterapi comms when gRPC searching required UUID only",0
"archesproject/arches","apeters","slight improvement on how we handle for quoted strings in i18n strings, re #9623",1
"archesproject/arches","apeters","UI refinements from DRW, re #9366",1
"weaviate/weaviate","dirkkul","Fix hybrid fusion type default value",0
"pingcap/docs","qiancai","ticdc: update ticdc docs (#15046)",1
"archesproject/arches","chiatt","Merge pull request #9685 from archesproject/9684-resource-instance-select

fixes null check errors in the resource instance select widget",1
"netbox-community/netbox","jeremystretch","Fixes #12395: Fix ""create & add another"" action for objects with custom fields",1
"netbox-community/netbox","jeremystretch","Merge pull request #13277 from netbox-community/13272-fix-graphql-test

13272 fix graphql test",1
"netbox-community/netbox","jeremystretch","Introduce ImageAttachmentsMixin",1
"postmanlabs/postman-docs","OlliesWorld","[MARKENG-2855] update footer with privacy choices",0
"PhantomBot/PhantomBot","gmt2001","Fix if",1
"PhantomBot/PhantomBot","gmt2001","Rewrite Linux/macOS launchers
Fix comments and README",1
"archesproject/arches","chiatt","Merge pull request #9617 from archesproject/74_release_prep

Update version in readme and update release notes",1
"archesproject/arches","chiatt","Merge pull request #9871 from jacobtylerwalls/9864_guard_published_graphs

Prevent adding nodes or branches to published graphs #9864",1
"weaviate/weaviate","antas-marcin","Merge pull request #3751 from weaviate/merge-stable-v1-22

Merge stable/v1.22 into master",1
"pingcap/docs","JaySon-Huang","Add missing field in deploy example yaml file (#14477)",0
"weaviate/weaviate","dirkkul","Better returns for errors in object",0
"postmanlabs/postman-docs","petewitcher-postman","Updated headings and steps",0
"archesproject/arches","apeters","add test for list type, re #9302",1
"archesproject/arches","apeters","Merge pull request #10020 from archesproject/9979_stage_only_relevant_tiles_for_edit

Update staging data for bulk edit, #9979",1
"archesproject/arches","phudson-he","Removed duplicate opensource comment",0
"postmanlabs/postman-docs","petewitcher-postman","Update src/pages/docs/postman-flows/tutorials/build-a-slack-bot.md

Co-authored-by: Ashley Kinard <113702138+akinard-postman@users.noreply.github.com>",0
"weaviate/weaviate","gmanninglive","refactor getHugginfaceUrl to vectorizer method",0
"archesproject/arches","khodgkinson-he","Hide Search Export button by user group list #8010",0
"weaviate/weaviate","dirkkul","Fix linting",0
"postmanlabs/postman-docs","akinard-postman","More updates based on new info",0
"PhantomBot/PhantomBot","gmt2001","Merge pull request #3132 from gmt2001/patch-577

Patch 577",1
"PhantomBot/PhantomBot","gmt2001","Fix jsString conversion",1
"PhantomBot/PhantomBot","gmt2001","Updated the bot properties guide and json file",1
"PhantomBot/PhantomBot","gmt2001","Update launch.sh with arm32 and --java
Move daemon mode to launch.sh",1
"PhantomBot/PhantomBot","gmt2001","Remove useless SaveAll method",1
"PhantomBot/PhantomBot","gmt2001","Merge pull request #3309 from Sartharon/multiUserPanel

[Panel User] Add restart and manage_user permissions",1
"PhantomBot/PhantomBot","gmt2001","Merge pull request #3142 from gmt2001/patch-583

Patch 583",1
"PhantomBot/PhantomBot","gmt2001","Fix JavaDoc update spam",1
"netbox-community/netbox","arthanson","Closes #13279: Wrap choice labels with gettext()

Co-authored-by: Jeremy Stretch <jstretch@netboxlabs.com>",0
"lvgl/lvgl","kisvegabor","refactor: scr -> screen, act->active, del->delete, remove in obj_clear_flag/state",1
"PhantomBot/PhantomBot","gmt2001","Updated GitHub Pages",1
"PhantomBot/PhantomBot","gmt2001","Add lastSeen",1
"postmanlabs/postman-docs","mark-anthony-postman","Merge branch 'develop' into tw-1008-restructure-remote-git",1
"postmanlabs/postman-docs","mark-anthony-postman","Update test config screenshot",1
"postmanlabs/postman-docs","mark-anthony-postman","Update titles",1
"PhantomBot/PhantomBot","gmt2001","Updated GitHub Pages",1
"lvgl/lvgl","kisvegabor","feat(gh-codespace): prebuild the project",1
"archesproject/arches","chrabyrd","merge #9304",1
"archesproject/arches","johnatawnclementawn","Restore file inadvertenly deleted in d281120 #9558",0
"archesproject/arches","johnatawnclementawn","Adds aria-labeling for node-value datatype config #9358",0
"weaviate/weaviate","asdine","only preload un-indexed vectors if async is enabled",0
"postmanlabs/postman-docs","akinard-postman","Update src/pages/docs/collaborating-in-postman/private-api-network/private-network-requests.md

Apply suggestion.

Co-authored-by: MatthewPinsker <108359042+MatthewPinsker-postman@users.noreply.github.com>",0
"postmanlabs/postman-docs","akinard-postman","Update for review feedback.",0
"archesproject/arches","chiatt","Merge pull request #9699 from archesproject/9698-transaction-reverse-403

fix for transaction reversal 403",1
"postmanlabs/postman-docs","tristandenyer","changed price on /auto-flex-policy/ page; added Hero",1
"pingcap/docs","Icemap","translate: simplify examples for golang documents from the docs-cn (#14724)",0
"postmanlabs/postman-docs","mark-anthony-postman","Merge branch 'develop' into tw-1448-app-install-nudges",1
"netbox-community/netbox","bluikko","13245 add QSFP112 and OSFP-RHS interface choices",0
"xamarin/xamarin-macios","mandel-macaque","[CoreMotion] Add support for Xcode 15 beta 7. (#18915)

Co-authored-by: GitHub Actions Autoformatter <github-actions-autoformatter@xamarin.com>
Co-authored-by: Alex Soto <alex@alexsoto.me>",1
"weaviate/weaviate","antas-marcin","Merge pull request #3486 from weaviate/near-image

Near Image/Audio and Video to GRPC",1
"netbox-community/netbox","abhi1693","adds additional safe HTTP headers to request #13542",0
"PhantomBot/PhantomBot","gmt2001","Add example for executeSql replacements",1
"postmanlabs/postman-docs","MatthewPinsker-postman","Merge branch 'develop' into tw-1400-newman-cli-options",0
"xamarin/xamarin-macios","rolfbjarne","[net8.0] [src] Add the RequiresPreviewFeatures attribute if we're using an unstable version of Xcode. Contributes towards #18343. (#18488)

Android does the same.

Contributes towards https://github.com/xamarin/xamarin-macios/issues/18343.",1
"pingcap/docs","Oreoxmt","release-6.5.4: add missing fix note (#14949)",0
"xamarin/xamarin-macios","mandel-macaque","[xcode15] Add support for Xcode 15 and corresponding OS versions. (#18641)",1
"netbox-community/netbox","abhi1693","adds contact accessor fields on assignment table #12955",0
"postmanlabs/postman-docs","petewitcher-postman","Review feedback",0
"weaviate/weaviate","abdelr","Dynamically growing the buffer to read from disk",0
"postmanlabs/postman-docs","petewitcher-postman","Update src/pages/docs/postman-flows/gs/the-interface.md

Co-authored-by: Ashley Kinard <113702138+akinard-postman@users.noreply.github.com>",0
"weaviate/weaviate","abdelr","jump over filtered elements (no seek)",0
"postmanlabs/postman-docs","petewitcher-postman","Update src/pages/docs/postman-flows/reference/preparing-a-collection-to-use-in-flows.md

Co-authored-by: Ashley Kinard <113702138+akinard-postman@users.noreply.github.com>",0
"postmanlabs/postman-docs","claireriley","update text",1
"weaviate/weaviate","abdelr","Adding some more params and fixing the memory pooling",0
"netbox-community/netbox","jeremystretch","Release v3.6.5",1
"archesproject/arches","chrabyrd","Merge pull request #9929 from archesproject/fix-builds

Remove editable flag on CI",1
"lvgl/lvgl","kdschlosser","chore(refr): removes unused macro (#4446)",0
"jens-maus/RaspberryMatic","jens-maus","fixed tailscale reverse proxy setup in lighttpd so that we can register
for tailscale again using the WebUI.",1
"PhantomBot/PhantomBot","gmt2001","Fix handling of null or missing message on donationHandler",1
"lvgl/lvgl","xaowang96","fix(obj): check obj->is_deleting at the beginning of obj_del_core (#4525)

Signed-off-by: wangxuedong <wangxuedong@xiaomi.com>",0
"PhantomBot/PhantomBot","gmt2001","Add subscriber count/points tracking to TwitchCache
Add passthrough follow count to TwitchCache
Add subscriber points count to streamInfo
Change streamInfo to use cached follow count on caster
Change streamInfo to use cached subscriber count
Add timer to output follow, subscriber, subscriber point, and viewer counts to addons files",1
"PhantomBot/PhantomBot","gmt2001","Merge pull request #3176 from gmt2001/patch-613

Improve HTTP debugging",1
"PhantomBot/PhantomBot","gmt2001","Enable HttpClient redirect following",1
"PhantomBot/PhantomBot","gmt2001","Fix usage of findCaller",1
"PhantomBot/PhantomBot","gmt2001","Formatting",1
"PhantomBot/PhantomBot","gmt2001","Swap default for supportsBackup",1
"postmanlabs/postman-docs","mark-anthony-postman","Merge branch 'develop' into tw-1198-clarify-persist-responses",1
"postmanlabs/postman-docs","mark-anthony-postman","Add screenshots for api client",1
"postmanlabs/postman-docs","mark-anthony-postman","Update responses",1
"netbox-community/netbox","abhi1693","Adds stroke to the reservation (#12506)

* adds stroke to the reservation #11900

* fixed right side border

* Tweak reserved stroke style & add constants for colors

---------

Co-authored-by: jeremystretch <jstretch@netboxlabs.com>",0
"postmanlabs/postman-docs","petewitcher-postman","Review feedback",0
"postmanlabs/postman-docs","petewitcher-postman","lint",0
"postmanlabs/postman-docs","petewitcher-postman","Update src/pages/docs/sending-requests/graphql/graphql-client-overview.md

Co-authored-by: Jonathan Konrath <80709817+jkonrath-postman@users.noreply.github.com>",0
"postmanlabs/postman-docs","petewitcher-postman","Merge pull request #5146 from postmanlabs/tw-1431-flows-view-live-logs

[TW-1431] Flows view live logs",0
"postmanlabs/postman-docs","petewitcher-postman","Update numbering and capitalization",0
"postmanlabs/postman-docs","claireriley","remove next steps",1
"postmanlabs/postman-docs","claireriley","Merge pull request #4720 from postmanlabs/tw-1022-keep-user-id-the-same

[TW-1022] Changes to removing/leaving team logic",1
"postmanlabs/postman-docs","MatthewPinsker-postman","Merge pull request #5138 from postmanlabs/tw-1438-workspace-management-updates

[TW-1438] Minor update to Workspace Management instructions",0
"weaviate/weaviate","dirkkul","Fail script on errors",0
"weaviate/weaviate","dirkkul","Fix references with tennant",0
"weaviate/weaviate","dirkkul","Add tests for generative search reply",0
"archesproject/arches","jacobtylerwalls","Allow importing empty worksheets

A worksheet might be empty if no instances have
tiles for that nodegroup.",0
"jens-maus/RaspberryMatic","jens-maus","updated CloudMatic to version with integrated workaround for a SHA1
incompatibility with latest OpenVPN/OpenSSL versions in buildroot
2023.08 and newer (this closes #2442).",1
"weaviate/weaviate","antas-marcin","Merge pull request #3560 from weaviate/fix/multi2vec-clip-vectorization-weights

ensure name is passed correctly when pulling weights from schema in `multi2vec-clip`",1
"postmanlabs/postman-docs","MatthewPinsker-postman","Configuration options for reporters",0
"archesproject/arches","aarongundel","fix migrations",1
"netbox-community/netbox","jeremystretch","Add description & expires fields to token test",1
"archesproject/arches","khodgkinson-he","9561 Json-Ld fix : Omit Edge from Null Domain",0
"postmanlabs/postman-docs","petewitcher-postman","Update src/pages/docs/postman-flows/tutorials/automating-repetitive-tasks.md

Co-authored-by: Ashley Kinard <113702138+akinard-postman@users.noreply.github.com>",0
"postmanlabs/postman-docs","petewitcher-postman","Update src/pages/docs/postman-flows/tutorials/build-a-slack-bot.md

Co-authored-by: Ashley Kinard <113702138+akinard-postman@users.noreply.github.com>",0
"postmanlabs/postman-docs","petewitcher-postman","Update screenshot and steps",0
"weaviate/weaviate","antas-marcin","Add getRandomSeed method to RandomVecs method",1
"postmanlabs/postman-docs","claireriley","Merge pull request #4755 from postmanlabs/TW-1035-resolving-conflicts

TW-1035 resolving conflicts",1
"archesproject/arches","njkim","Update to return value as an object form, #9523",1
"postmanlabs/postman-docs","jkonrath-postman","Merge branch 'develop' into TW-1109",1
"postmanlabs/postman-docs","MatthewPinsker-postman","Merge branch 'develop' into tw-1141-multi-protocol-screenshots-part-3",0
"xamarin/xamarin-macios","rolfbjarne","[net8.0] Merge main into net8.0.",1
"PhantomBot/PhantomBot","gmt2001","Merge pull request #3239 from gmt2001/patch-653

Fix label",1
"xamarin/xamarin-macios","rolfbjarne","[src] Throw an exception if entering methods that aren't supported with NativeAOT. (#18907)

We have numerous methods that we should never end up executing when using
NativeAOT, in particular methods called from native code.

Ideally we'd be able to link these away completely, but that's a much larger
refactoring, so in the meantime we can do something simpler: just throw an
exception in these methods if using NativeAOT.

There are two advantages:

* Smaller apps.
* No warnings from NativeAOT about these methods doing things that aren't
  trimmer-safe.

Contributes towards https://github.com/xamarin/xamarin-macios/issues/18629.",1
"xamarin/xamarin-macios","rolfbjarne","[net8.0] Merge main into net8.0 (#18770)",1
"xamarin/xamarin-macios","rolfbjarne","[net8.0] [dotnet] Add support for multi-targeting. (#18931)

Multi targetting is described here:
https://github.com/xamarin/xamarin-macios/blob/main/docs/multi-target-framework.md

This change implements support for:

* Building using the first .NET 7 packages we shipped.
* Building using the last .NET 7 packages we've shipped.

In both cases by specifying the OS version in the target framework.

Additionally adding support for any other API/OS version is trivial: it's just
a matter of listing the corresponding versions in a few files (this is
particularly interesting to add support for preview versions).

It does so by:

* Renaming the ref, sdk and runtime packs to contain the target framework and
  the target platfrom version, so the packages will now be named:

    * iOS

        * Microsoft.iOS.Sdk.net8.0_16.4
        * Microsoft.iOS.Ref.net8.0_16.4
        * Microsoft.iOS.Runtime.ios-arm64.net8.0_16.4
        * Microsoft.iOS.Runtime.iossimulator-arm64.net8.0_16.4
        * Microsoft.iOS.Runtime.iossimulator-x64.net8.0_16.4

    * tvOS

        * Microsoft.tvOS.Sdk.net8.0_16.4
        * Microsoft.tvOS.Ref.net8.0_16.4
        * Microsoft.tvOS.Runtime.ios-arm64.net8.0_16.4
        * Microsoft.tvOS.Runtime.iossimulator-arm64.net8.0_16.4
        * Microsoft.tvOS.Runtime.iossimulator-x64.net8.0_16.4

    * Mac Catalyst

        * Microsoft.MacCatalyst.Sdk.net8.0_16.4
        * Microsoft.MacCatalyst.Ref.net8.0_16.4
        * Microsoft.MacCatalyst.Runtime.maccatalyst-x64.net8.0_16.4
        * Microsoft.MacCatalyst.Runtime.maccatalyst-arm64.net8.0_16.4

    * macOS

        * Microsoft.macOS.Sdk.net8.0_13.3
        * Microsoft.macOS.Ref.net8.0_13.3
        * Microsoft.macOS.Runtime.osx-x64.net8.0_13.3
        * Microsoft.macOS.Runtime.osx-arm64.net8.0_13.3

* Updating the WorkloadManifest.json and WorkloadManifest.targets files to
  load the correct packs according to the TargetFramework in the developer's
  project.

* We're also now giving a better error message for invalid/unsupported/eol'ed
  target frameworks. Fixes https://github.com/xamarin/xamarin-macios/issues/18790.

* Add a few tests.

Fixes:
* https://github.com/xamarin/xamarin-macios/issues/18790.
* https://github.com/dotnet/sdk/issues/30103.
* https://github.com/xamarin/xamarin-macios/issues/16802.

Contributes towards:

* https://github.com/xamarin/xamarin-macios/issues/18343.",1
"netbox-community/netbox","jeremystretch","Misc docs cleanup for v3.6",1
"netbox-community/netbox","jeremystretch","#7671: Document REMOTE_AUTH_AUTO_CREATE_GROUPS config parameter",1
"netbox-community/netbox","jeremystretch","Fixes #12885: Permit mounting of devices in U100 (#12901)

* Fixes #12885: Permit mounting of devices in U100

* Define a RACK_U_HEIGHT_MAX constant",1
"archesproject/arches","chiatt","Merge pull request #9835 from archesproject/update_7_with_6

Merge 6.2.x into 7.4.x",1
"archesproject/arches","chrabyrd","CR changes #9264",1
"postmanlabs/postman-docs","mark-anthony-postman","Update overview page title",1
"postmanlabs/postman-docs","mark-anthony-postman","Update documenting a collection",1
"postmanlabs/postman-docs","mark-anthony-postman","Add bold to Overview tab",1
"PhantomBot/PhantomBot","gmt2001","Updated GitHub Pages",1
"PhantomBot/PhantomBot","gmt2001","Remove old replacement",1
"PhantomBot/PhantomBot","gmt2001","Fix negates",1
"PhantomBot/PhantomBot","gmt2001","Fix scope on updateGame",1
"PhantomBot/PhantomBot","gmt2001","Add ExponentialBackoff to EventSub
Don't attempt to connect if API token invalid",1
"PhantomBot/PhantomBot","gmt2001","Start implementation of SelectStatement
Change FluentStatement to use generics",1
"weaviate/weaviate","redouan-rhazouani","schema: ensure thread-safety when reading the schema",0
"archesproject/arches","jacobtylerwalls","Replace deprecated ignore param to es create()

Refs https://www.elastic.co/guide/en/elasticsearch/client/python-api/current/migration.html#migration-options",0
"netbox-community/netbox","rogerxaic","Update ipam.md

100.64.16.9/24 isn't a valid CIDR",0
"postmanlabs/postman-docs","petewitcher-postman","Update src/pages/docs/postman-flows/reference/preparing-a-collection-to-use-in-flows.md

Co-authored-by: Ashley Kinard <113702138+akinard-postman@users.noreply.github.com>",0
"postmanlabs/postman-docs","akinard-postman","Update for review feedback.",0
"xamarin/xamarin-macios","haritha-mohan","[Vision] Add support for Xcode 15 (#19099)

Co-authored-by: GitHub Actions Autoformatter <github-actions-autoformatter@xamarin.com>
Co-authored-by: Alex Soto <alex@soto.dev>",0
"xamarin/xamarin-macios","haritha-mohan","[NetworkExtension] Add support for Xcode 15 (#19059)

Support for TVOS was added

---------

Co-authored-by: GitHub Actions Autoformatter <github-actions-autoformatter@xamarin.com>",0
"postmanlabs/postman-docs","petewitcher-postman","Update src/pages/docs/postman-flows/tutorials/creating-output-displays.md

Co-authored-by: MatthewPinsker <108359042+MatthewPinsker-postman@users.noreply.github.com>",0
"archesproject/arches","apeters","update close button location, add roll=button, re #9341",1
"postmanlabs/postman-docs","jkonrath-postman","fix lint",1
"weaviate/weaviate","dirkkul","Better names",0
"weaviate/weaviate","dirkkul","Fix issues with autodetect and duplicate IDs",0
"postmanlabs/postman-docs","petewitcher-postman","Update UI reference",0
"postmanlabs/postman-docs","petewitcher-postman","Merge pull request #5134 from postmanlabs/tw-1384-sending-requests-cookies-refresh

[TW-1384] sending requests and cookies refresh",0
"postmanlabs/postman-docs","petewitcher-postman","Minor correction",0
"weaviate/weaviate","abdelr","Merge pull request #3098 from weaviate/PQ_Optimization_After_Rescoring

Pq optimization after rescoring",0
"archesproject/arches","aarongundel","Fixes issue where migration change wasn't committed to model.",1
"postmanlabs/postman-docs","nerminamiller-postman","Update src/pages/docs/sending-requests/graphql/graphql-http.md",0
"postmanlabs/postman-docs","nerminamiller-postman","Update src/pages/docs/collaborating-in-postman/public-api-network/public-api-network-overview.md

Co-authored-by: Mark Anthony <87772944+mark-anthony-postman@users.noreply.github.com>",0
"postmanlabs/postman-docs","mark-anthony-postman","Merge pull request #4813 from postmanlabs/tw-1150-maintenance-review-cycle-11-15

[TW-1150] Maintenance review cycle 5/23 11-15",1
"postmanlabs/postman-docs","mark-anthony-postman","Update screenshots",1
"postmanlabs/postman-docs","mark-anthony-postman","Update src/pages/docs/collections/testing-api-performance.md

Co-authored-by: MatthewPinsker <108359042+MatthewPinsker-postman@users.noreply.github.com>",1
"postmanlabs/postman-docs","mark-anthony-postman","Merge branch 'develop' into tw-1351-delete-git-branches",1
"postmanlabs/postman-docs","nerminamiller-postman","Update working-with-data-files.md",0
"postmanlabs/postman-docs","akinard-postman","fix lint error",0
